"","Kappa","n","cover","width","Saccept","Kaccept"
"421",2,10,1,0.550292001054017,0.342,0.3954
"422",2,10,1,0.517329243179242,0.3128,0.38
"423",2,10,1,0.821474864878878,0.4862,0.4478
"424",2,10,1,0.838028488295716,0.4846,0.4614
"425",2,10,1,0.856485862624817,0.5012,0.4606
"426",2,10,1,0.904177418044467,0.4592,0.4382
"427",2,10,1,0.85685409961639,0.4862,0.4544
"428",2,10,1,1.14109923738915,0.522,0.4906
"429",2,10,1,0.686906736467027,0.4232,0.421
"430",2,10,1,0.662526255655899,0.417,0.4056
"431",2,10,1,0.764526538227204,0.4668,0.446
"432",2,10,1,0.605324425018163,0.3738,0.4064
"433",2,10,1,0.635698024312519,0.389,0.407
"434",2,10,1,0.645375956899533,0.3954,0.4008
"435",2,10,1,0.69134969842055,0.4234,0.4234
"436",2,10,1,0.585142108292161,0.3624,0.4006
"437",2,10,1,0.607148440927423,0.3714,0.406
"438",2,10,1,0.572974782428701,0.3552,0.409
"439",2,10,1,0.566273100227771,0.358,0.391
"440",2,10,0,0.792398499493068,0.4666,0.4218
"441",2,10,1,0.682625723576369,0.4084,0.4102
"442",2,10,1,0.729326525508227,0.4498,0.4318
"443",2,10,1,0.691652576472138,0.433,0.4146
"444",2,10,0,0.58525123522034,0.3792,0.3962
"445",2,10,1,0.82409033833512,0.4978,0.4684
"446",2,10,1,0.744686540803538,0.4468,0.4278
"447",2,10,0,0.711589110225686,0.456,0.4296
"448",2,10,1,1.62765489193538,0.5688,0.518
"449",2,10,1,0.652773545652691,0.3936,0.4154
"450",2,10,1,0.959145158642547,0.5128,0.4828
"451",2,10,1,0.802246678356249,0.4778,0.448
"452",2,10,1,0.689104120399457,0.391,0.4002
"453",2,10,1,0.755770248013483,0.4606,0.4232
"454",2,10,1,0.664663354083837,0.4096,0.4142
"455",2,10,1,0.79895336766472,0.4868,0.4624
"456",2,10,1,0.708364476757358,0.4238,0.417
"457",2,10,1,0.745145656145546,0.4594,0.4272
"458",2,10,1,0.723708391154096,0.4582,0.4278
"459",2,10,1,0.678375565431341,0.4074,0.4108
"460",2,10,1,0.824492414103807,0.496,0.4514
"461",2,10,1,0.611629487307597,0.365,0.3968
"462",2,10,1,0.824527376455144,0.4826,0.4522
"463",2,10,1,0.714219864815576,0.4296,0.4174
"464",2,10,1,0.707991132111998,0.4226,0.4356
"465",2,10,1,0.856495992606088,0.5132,0.4696
"466",2,10,1,0.741755885759353,0.4478,0.4386
"467",2,10,1,1.18250597541165,0.518,0.4848
"468",2,10,1,1.21064644836081,0.4872,0.4592
"469",2,10,1,0.713509657803755,0.4322,0.42
"470",2,10,1,0.73813090359087,0.4506,0.4372
"471",2,10,1,0.886697396524534,0.4864,0.4694
"472",2,10,1,0.866945753158784,0.487,0.4554
"473",2,10,1,0.769256240592207,0.471,0.4422
"474",2,10,1,0.630798714084899,0.3758,0.399
"475",2,10,1,0.769151853678531,0.4768,0.4588
"476",2,10,1,0.788683593762189,0.4596,0.4308
"477",2,10,0,0.59154035435883,0.3614,0.397
"478",2,10,1,0.637982268281876,0.394,0.4044
"479",2,10,1,0.822037886631464,0.5024,0.452
"480",2,10,1,0.729449391536241,0.45,0.4278
"481",2,10,0,0.732688303075292,0.4484,0.4434
"482",2,10,1,0.999367371447658,0.5184,0.4976
"483",2,10,1,0.644513305410019,0.4024,0.4022
"484",2,10,1,0.62288347124256,0.4006,0.399
"485",2,10,1,0.638410935601769,0.4046,0.414
"486",2,10,1,0.572372442832561,0.3398,0.3844
"487",2,10,1,0.77228580206664,0.4698,0.4628
"488",2,10,1,0.812949662093548,0.4764,0.4334
"489",2,10,1,0.786451190470258,0.4676,0.4548
"490",2,10,0,0.516410984671448,0.291,0.3698
"491",2,10,0,0.778296003919915,0.458,0.4322
"492",2,10,1,0.728504182697916,0.4468,0.4218
"493",2,10,1,0.605987853868538,0.3582,0.4026
"494",2,10,1,0.747870702713536,0.4536,0.4308
"495",2,10,1,0.794272590588361,0.4864,0.4438
"496",2,10,1,0.690887571120187,0.4194,0.4112
"497",2,10,1,0.63548129431603,0.3894,0.4012
"498",2,10,1,0.586425114982408,0.3592,0.3902
"499",2,10,1,0.685538514329499,0.4032,0.4192
"500",2,10,1,0.55422180989946,0.3504,0.3794
"501",2,10,1,0.768649312942419,0.4534,0.4406
"502",2,10,1,1.073580001325,0.5576,0.517
"503",2,10,1,0.989518405639416,0.534,0.4924
"504",2,10,1,0.782339119548274,0.4712,0.441
"505",2,10,1,0.744822505023735,0.46,0.4374
"506",2,10,1,0.724169331638586,0.4398,0.4172
"507",2,10,1,0.660904495275662,0.419,0.4042
"508",2,10,1,0.909578892166258,0.5094,0.4638
"509",2,10,1,1.44005938990845,0.554,0.5112
"510",2,10,1,0.765711946567663,0.4546,0.4456
"511",2,10,1,0.670720038677207,0.399,0.3994
"512",2,10,1,0.652414126273128,0.394,0.408
"513",2,10,1,0.653340554527471,0.4034,0.4046
"514",2,10,1,0.796804113678914,0.4776,0.4462
"515",2,10,1,0.888110152273465,0.5136,0.464
"516",2,10,1,1.17034610240698,0.5012,0.4674
"517",2,10,1,0.871537767533515,0.5024,0.456
"518",2,10,0,0.594619834461653,0.3552,0.3914
"519",2,10,1,1.84380259644363,0.5948,0.5524
"520",2,10,0,0.799679465064117,0.4682,0.4438
"521",2,10,1,0.775936599017788,0.4654,0.4436
"522",2,10,1,0.78175718417232,0.4706,0.445
